transaction_date,channel,txn_count,fraud_count,alert_count,amount_sum,avg_fraud_score,fraud_rate,alert_rate
2026-03-08,web,535,10,10,67856.22,0.08966872408766044,0.018691588785046728,0.018691588785046728
2026-03-08,mobile,598,11,7,70280.64,0.06870074491977417,0.01839464882943144,0.011705685618729096
2026-03-08,pos,393,0,0,39699.79,0.0013226542620720456,0.0,0.0
2026-03-09,web,839,23,17,106801.52,0.08856879898416391,0.027413587604290822,0.02026221692491061
2026-03-09,mobile,987,22,13,106560.91,0.08148100945472059,0.022289766970618033,0.013171225937183385
2026-03-09,pos,589,0,0,62998.24,0.0018941409800094944,0.0,0.0
2026-03-10,web,869,17,17,102936.61,0.08160783886270481,0.019562715765247412,0.019562715765247412
2026-03-10,mobile,1039,22,12,106610.69,0.07645472839824816,0.021174205967276226,0.011549566891241578
2026-03-10,pos,634,0,0,74202.78,0.0022261142799938605,0.0,0.0
2026-03-11,web,849,17,22,104418.47,0.09938977617530033,0.020023557126030624,0.02591283863368669
2026-03-11,mobile,990,19,15,104402.04,0.08328636355414008,0.01919191919191919,0.015151515151515152
2026-03-11,pos,638,0,0,74295.37,0.0014847205728760978,0.0,0.0
2026-03-12,web,853,17,16,110363.37,0.08995807848544625,0.01992966002344666,0.01875732708089097
2026-03-12,mobile,1002,12,15,103427.71,0.08030944352246867,0.011976047904191617,0.014970059880239521
2026-03-12,pos,612,0,0,69906.6,0.001854006576850082,0.0,0.0
2026-03-13,web,916,13,11,114043.16,0.08510732209023088,0.014192139737991267,0.012008733624454149
2026-03-13,mobile,1037,20,14,112837.9,0.06873252316996098,0.019286403085824494,0.013500482160077145
2026-03-13,pos,641,0,0,73841.43000000001,0.002230506956170082,0.0,0.0
2026-03-14,web,899,17,14,115144.1,0.09557579871152355,0.018909899888765295,0.01557285873192436
2026-03-14,mobile,1001,21,16,103487.1,0.08689563232734734,0.02097902097902098,0.015984015984015984
2026-03-14,pos,606,0,0,72183.54,0.0034661381714756264,0.0,0.0
2026-03-15,web,912,21,16,114239.34,0.08532857661176592,0.023026315789473683,0.017543859649122806
2026-03-15,mobile,1029,18,20,103262.85,0.08290786357597524,0.01749271137026239,0.019436345966958212
2026-03-15,pos,630,0,0,73898.84,0.0026619087510021543,0.0,0.0
2026-03-16,web,889,22,14,115468.2,0.09520158595667219,0.024746906636670417,0.015748031496062992
2026-03-16,mobile,1028,7,11,108174.25,0.07467331595389219,0.006809338521400778,0.010700389105058366
2026-03-16,pos,631,0,0,73638.5,0.0017135354293163479,0.0,0.0
2026-03-17,web,801,12,20,100015.38,0.08349841956922847,0.0149812734082397,0.024968789013732832
2026-03-17,mobile,995,16,11,104917.17,0.07840765511190409,0.016080402010050253,0.011055276381909548
2026-03-17,pos,554,0,0,61773.12,0.0016727642800257526,0.0,0.0
2026-03-18,web,858,17,13,111227.31999999999,0.09147244772851755,0.019813519813519812,0.015151515151515152
2026-03-18,mobile,949,19,13,101987.46,0.07782885650091874,0.020021074815595362,0.0136986301369863
2026-03-18,pos,621,0,0,68992.29,0.0019443895000750922,0.0,0.0
2026-03-19,web,881,16,11,117351.8,0.08307960201719976,0.018161180476730987,0.012485811577752554
2026-03-19,mobile,959,18,9,99360.49,0.08230983647305878,0.018769551616266946,0.009384775808133473
2026-03-19,pos,578,0,0,63419.53,0.002164412187257076,0.0,0.0
2026-03-20,web,838,23,16,106742.81,0.09018927186157608,0.027446300715990454,0.01909307875894988
2026-03-20,mobile,1022,16,14,117548.32,0.07782248567101059,0.015655577299412915,0.0136986301369863
2026-03-20,pos,612,0,0,71013.56,0.0028357435195580996,0.0,0.0
2026-03-21,web,896,16,17,113634.87,0.08711346037324151,0.017857142857142856,0.018973214285714284
2026-03-21,mobile,947,16,18,100007.74,0.08337352911039718,0.01689545934530095,0.01900739176346357
2026-03-21,pos,582,0,0,70496.89,0.0016304108412005514,0.0,0.0
2026-03-22,web,848,22,16,102114.66,0.09239402249398433,0.025943396226415096,0.018867924528301886
2026-03-22,mobile,1027,23,14,109162.46,0.07916987760087138,0.022395326192794548,0.013631937682570594
2026-03-22,pos,578,0,0,68298.13,0.0030958580058899022,0.0,0.0
2026-03-23,web,888,21,17,107121.63,0.08578302552044026,0.02364864864864865,0.019144144144144143
2026-03-23,mobile,1010,19,15,113259.71,0.08081055651700485,0.01881188118811881,0.01485148514851485
2026-03-23,pos,566,0,0,68948.13,0.0026704984075097997,0.0,0.0
2026-03-24,web,884,16,17,117435.18,0.09347633012110093,0.01809954751131222,0.019230769230769232
2026-03-24,mobile,1001,18,14,107392.7,0.07941176656618244,0.017982017982017984,0.013986013986013986
2026-03-24,pos,615,0,0,62107.53,0.0016941459553388018,0.0,0.0
2026-03-25,web,897,23,15,106453.09,0.08157463922329411,0.02564102564102564,0.016722408026755852
2026-03-25,mobile,1056,16,13,104622.48,0.07688979070310818,0.015151515151515152,0.01231060606060606
2026-03-25,pos,589,0,0,71557.75,0.0021081218209567324,0.0,0.0
2026-03-26,web,397,4,7,51649.51,0.10533295762092439,0.010075566750629723,0.017632241813602016
2026-03-26,mobile,641,8,8,64220.58,0.06764048522263148,0.0124804992199688,0.0124804992199688
2026-03-26,pos,264,0,0,27602.46,0.0015836471364532195,0.0,0.0
