transaction_id,transaction_ts,transaction_date,fraud_label,fraud_type,fraud_score,risk_bucket,alert_flag,prediction_outcome,review_rank,review_percentile,amount,channel,payment_type,merchant_category,merchant_risk_level,customer_segment,transaction_country,ip_country,currency,is_cross_border,issuer_country_mismatch,ip_country_mismatch,geo_mismatch_any_flag,card_present_flag,shared_or_low_trust_device_flag,customer_txn_count_prev_1h,customer_txn_count_prev_24h,device_txn_count_prev_1h,device_txn_count_prev_24h,payment_method_txn_count_prev_1h,payment_method_txn_count_prev_24h,merchant_fraud_rate_prior,device_fraud_rate_prior,payment_method_fraud_rate_prior,amount_to_customer_expected_ratio,amount_to_merchant_prior_mean_ratio,behavioral_novelty_score,risk_signal_score,customer_id,merchant_id,device_id,payment_method_id,in_top_1pct_review_queue,in_top_3pct_review_queue,in_top_5pct_review_queue,in_top_10pct_review_queue
TXN_000035436,2026-03-17 23:13:28,2026-03-17,1,account_takeover,0.0063704467580213,low,0,false_negative,17412,0.38693333333333335,135.36,web,bank_transfer,marketplace,low,sme,FR,ES,EUR,1,1,0,1,0,0,0,1,0,0,0,0,0.0254545454545454,0.0353623188405797,0.0496551724137931,1.47752186998082,1.1962137012674474,1,2,CUST_002691,MERCH_000878,DEV_006867,PM_001683,0,0,0,0
TXN_000237302,2026-03-10 01:34:08,2026-03-10,1,account_takeover,0.0078967175515056,low,0,false_negative,16477,0.36615555555555557,73.06,mobile,wallet,marketplace,low,digital_native,FR,ES,EUR,1,0,0,1,0,0,0,0,0,0,0,0,0.0058064516129032,0.0146666666666666,0.0064705882352941,1.3027463901540848,0.826547685443391,2,3,CUST_009027,MERCH_000413,DEV_007047,PM_002245,0,0,0,0
TXN_000260548,2026-03-22 22:54:46,2026-03-22,1,account_takeover,0.0091801908747875,low,0,false_negative,15788,0.35084444444444446,91.54,mobile,wallet,electronics,medium,digital_native,ES,ES,EUR,0,1,0,1,0,0,0,2,0,2,0,2,0.0146236559139784,0.0109090909090909,0.0288,4.979961918578294,0.5645833216522476,1,3,CUST_004667,MERCH_000268,DEV_004977,PM_001225,0,0,0,0
TXN_000032583,2026-03-21 08:16:25,2026-03-21,1,stolen_card,0.0103477787777179,low,0,false_negative,15253,0.33895555555555557,22.88,mobile,debit_card,marketplace,low,mass,FR,ES,EUR,1,0,0,1,0,0,0,0,0,0,0,0,0.0241558441558441,0.0167441860465116,0.007719298245614,1.9795311148156745,0.221263147220326,1,1,CUST_008071,MERCH_000203,DEV_004054,PM_009507,0,0,0,0
TXN_000213863,2026-03-09 04:44:30,2026-03-09,1,account_takeover,0.0122074368734386,low,0,false_negative,14489,0.32197777777777775,16.44,mobile,credit_card,marketplace,low,digital_native,IT,ES,EUR,1,1,0,1,1,1,0,0,1,1,0,0,0.013030303030303,0.0124137931034482,0.0248275862068965,0.8416342903628484,0.224085054181149,1,4,CUST_001537,MERCH_000331,DEV_000136,PM_000452,0,0,0,0
TXN_000011277,2026-03-13 01:52:34,2026-03-13,1,account_takeover,0.0150122359789795,low,0,false_negative,13442,0.2987111111111111,72.72,mobile,wallet,electronics,medium,digital_native,IT,ES,EUR,1,1,0,1,0,0,0,0,0,0,0,0,0.0140408163265306,0.0387301587301587,0.0091666666666666,0.8453307449535312,0.8438104835278519,1,4,CUST_008739,MERCH_001133,DEV_005424,PM_009770,0,0,0,0
TXN_000027818,2026-03-11 19:44:08,2026-03-11,1,stolen_card,0.0218047489790698,low,0,false_negative,11537,0.25637777777777776,168.57,web,credit_card,travel,high,sme,FR,FR,EUR,0,0,0,0,0,0,0,0,0,3,0,0,0.0404347826086956,0.0138636363636363,0.0409523809523809,3.0959753397730543,0.6256197533546283,1,2,CUST_005232,MERCH_000402,DEV_000618,PM_010609,0,0,0,0
TXN_000167250,2026-03-14 06:32:19,2026-03-14,1,stolen_card,0.0222454131228519,low,0,false_negative,11446,0.25435555555555556,104.32,web,debit_card,marketplace,high,digital_native,IT,FR,EUR,1,1,0,1,0,0,0,1,0,1,0,1,0.0203745318352059,0.0075862068965517,0.0087999999999999,3.0881036077705826,0.6931783362400669,1,3,CUST_003188,MERCH_001077,DEV_007028,PM_001773,0,0,0,0
TXN_000284894,2026-03-23 04:21:23,2026-03-23,1,account_takeover,0.0254996957692631,low,0,false_negative,10770,0.23933333333333334,142.12,web,wallet,marketplace,high,digital_native,PT,ES,EUR,1,1,0,1,0,0,0,0,0,0,0,0,0.0218473895582329,0.0125217391304347,0.0059459459459459,10.8794321305543,1.106809917850035,2,4,CUST_004329,MERCH_001094,DEV_000612,PM_010494,0,0,0,0
TXN_000137881,2026-03-09 23:49:26,2026-03-09,1,stolen_card,0.0263540619306701,low,0,false_negative,10625,0.2361111111111111,162.85,mobile,credit_card,electronics,high,sme,ES,ES,EUR,0,1,0,1,0,1,0,2,0,0,0,2,0.0283221476510067,0.0369230769230769,0.0096,2.152038891714287,0.7819337740749357,0,3,CUST_005851,MERCH_001083,DEV_005798,PM_006273,0,0,0,0
