transaction_date,txn_count,fraud_count,alert_count,high_risk_count,medium_risk_count,amount_sum,avg_fraud_score,max_fraud_score,cross_border_count,geo_mismatch_count,fraud_rate,alert_rate,high_risk_rate,cross_border_rate,geo_mismatch_rate
2026-03-08,1526,21,17,17,32,177836.65,0.05869961728303905,0.9976144359960094,703,1353,0.013761467889908258,0.011140235910878113,0.011140235910878113,0.46068152031454784,0.8866317169069463
2026-03-09,2415,45,30,30,52,276360.67,0.06453276510010282,0.9978482336376796,1188,2177,0.018633540372670808,0.012422360248447204,0.012422360248447204,0.4919254658385093,0.9014492753623189
2026-03-10,2542,39,29,29,47,283750.08,0.05970300205782313,0.996272817179445,1260,2273,0.015342250196695516,0.011408339889850511,0.011408339889850511,0.4956726986624705,0.8941778127458694
2026-03-11,2477,36,37,36,62,283115.88,0.06773624207384885,0.9980318791492514,1200,2225,0.014533710133225677,0.014937424303593056,0.014533710133225677,0.4844570044408559,0.8982640290674203
2026-03-12,2467,29,31,31,52,283697.68,0.06418279504768201,0.9956426781605908,1175,2231,0.011755168220510741,0.01256586947709769,0.01256586947709769,0.4762869882448318,0.9043372517227402
2026-03-13,2594,33,25,25,44,300722.49,0.05808160698566154,0.9972356678487306,1223,2307,0.012721665381649962,0.00963762528912876,0.00963762528912876,0.47147262914417887,0.8893600616808018
2026-03-14,2506,38,30,30,60,290814.74,0.0698346571162205,0.9984856481320796,1236,2254,0.015163607342378291,0.011971268954509178,0.011971268954509178,0.4932162809257781,0.8994413407821229
2026-03-15,2571,39,36,36,48,291401.03,0.0641030167260756,0.9979898083145532,1258,2319,0.015169194865810968,0.014002333722287048,0.014002333722287048,0.4893037728510307,0.9019836639439907
2026-03-16,2548,29,25,25,51,297280.95,0.06376751160595814,0.995355375665187,1259,2301,0.011381475667189953,0.009811616954474097,0.009811616954474097,0.49411302982731553,0.9030612244897959
2026-03-17,2350,28,31,30,40,266705.67,0.06205300524358759,0.9973041824883528,1107,2127,0.011914893617021277,0.013191489361702127,0.01276595744680851,0.47106382978723405,0.9051063829787234
2026-03-18,2428,36,26,26,61,282207.07,0.06324152011943433,0.9885727897350997,1172,2177,0.014827018121911038,0.01070840197693575,0.01070840197693575,0.4827018121911038,0.8966227347611203
2026-03-19,2418,34,20,19,57,280131.82,0.06343229644294912,0.9975109667690132,1222,2197,0.014061207609594707,0.008271298593879239,0.007857733664185277,0.5053763440860215,0.9086021505376344
2026-03-20,2472,39,30,30,48,295304.69,0.0634501072854948,0.9979073768857856,1239,2211,0.015776699029126214,0.012135922330097087,0.012135922330097087,0.5012135922330098,0.8944174757281553
2026-03-21,2425,32,35,35,35,284139.5,0.06513702749342236,0.9954064913265644,1196,2188,0.013195876288659794,0.01443298969072165,0.01443298969072165,0.4931958762886598,0.9022680412371133
2026-03-22,2453,45,30,30,47,279575.25,0.06581614402706806,0.99329044954026,1239,2219,0.018344883815735832,0.01222992254382389,0.01222992254382389,0.5050958010599266,0.9046066041581736
2026-03-23,2464,40,32,32,50,289329.47,0.06465320245250665,0.9978738506406152,1221,2225,0.016233766233766232,0.012987012987012988,0.012987012987012988,0.4955357142857143,0.9030032467532467
2026-03-24,2500,34,31,31,55,286935.41,0.06526646156893408,0.99907068327453,1268,2276,0.0136,0.0124,0.0124,0.5072,0.9104
2026-03-25,2542,39,28,27,42,282633.32,0.061215481557167814,0.998070318291189,1287,2301,0.015342250196695516,0.011014948859166011,0.010621557828481511,0.506294256490952,0.9051927616050354
2026-03-26,1302,12,15,15,26,143472.55,0.06573949158773995,0.9944122810346744,651,1159,0.009216589861751152,0.01152073732718894,0.01152073732718894,0.5,0.8901689708141322
