merchant_id,txn_count,fraud_count,alert_count,high_risk_count,medium_risk_count,approved_amount_sum,avg_amount,median_amount,avg_fraud_score,max_fraud_score,cross_border_count,geo_mismatch_count,ip_mismatch_count,low_trust_device_count,fraud_rate,alert_rate,high_risk_rate,cross_border_rate,geo_mismatch_rate,ip_mismatch_rate,low_trust_device_rate,merchant_category,merchant_country,merchant_risk_level
MERCH_000500,44,12,11,11,15,7352.5,167.10227272727272,121.97,0.6652395423018672,0.9869136220684116,28,43,12,15,0.2727272727272727,0.25,0.25,0.6363636363636364,0.9772727272727273,0.2727272727272727,0.3409090909090909,marketplace,IT,medium
MERCH_000487,39,13,15,15,6,6933.61,177.78487179487178,99.7,0.6611410567841365,0.9971251732823916,31,38,14,7,0.3333333333333333,0.38461538461538464,0.38461538461538464,0.7948717948717948,0.9743589743589743,0.358974358974359,0.1794871794871795,marketplace,DE,high
MERCH_000988,43,6,7,7,19,9429.27,219.2853488372093,183.24,0.6492023658728924,0.9578228788492058,25,41,9,11,0.13953488372093023,0.16279069767441862,0.16279069767441862,0.5813953488372093,0.9534883720930233,0.20930232558139536,0.2558139534883721,electronics,DE,medium
MERCH_000819,62,17,13,13,22,10552.76,170.20580645161291,122.44,0.6213020455600868,0.9827552279711036,26,50,15,18,0.27419354838709675,0.20967741935483872,0.20967741935483872,0.41935483870967744,0.8064516129032258,0.24193548387096775,0.2903225806451613,marketplace,ES,medium
MERCH_000396,51,8,5,5,20,14758.35,289.3794117647059,195.13,0.6113241364213958,0.955741957431376,22,45,10,15,0.1568627450980392,0.09803921568627451,0.09803921568627451,0.43137254901960786,0.8823529411764706,0.19607843137254902,0.29411764705882354,electronics,ES,high
MERCH_000066,41,11,9,9,9,6050.56,147.57463414634148,100.93,0.5819613971146539,0.9979898083145532,24,40,8,12,0.2682926829268293,0.21951219512195122,0.21951219512195122,0.5853658536585366,0.975609756097561,0.1951219512195122,0.2926829268292683,electronics,DE,medium
MERCH_000289,32,7,8,8,5,3118.2,97.44375,54.825,0.5600169182290825,0.988967228361906,20,30,10,6,0.21875,0.25,0.25,0.625,0.9375,0.3125,0.1875,digital_services,DE,high
MERCH_000697,47,5,4,4,18,4814.5199999999995,102.43659574468084,64.37,0.5451224847189216,0.9969210940739436,29,46,5,10,0.10638297872340426,0.0851063829787234,0.0851063829787234,0.6170212765957447,0.9787234042553191,0.10638297872340426,0.2127659574468085,digital_services,FR,high
MERCH_000566,49,12,11,11,6,6426.99,131.16306122448978,68.54,0.5436232780418611,0.99907068327453,38,48,14,6,0.24489795918367346,0.22448979591836735,0.22448979591836735,0.7755102040816326,0.9795918367346939,0.2857142857142857,0.12244897959183673,digital_services,PT,high
MERCH_001155,52,7,1,1,18,6181.83,118.88134615384615,73.72,0.5058079284091618,0.9182428224255536,17,42,12,14,0.1346153846153846,0.019230769230769232,0.019230769230769232,0.3269230769230769,0.8076923076923077,0.23076923076923078,0.2692307692307692,digital_services,ES,medium
MERCH_000345,41,10,11,11,2,4149.22,101.20048780487805,46.66,0.4998682114961853,0.9916966589380946,30,41,9,9,0.24390243902439024,0.2682926829268293,0.2682926829268293,0.7317073170731707,1.0,0.21951219512195122,0.21951219512195122,digital_services,IT,high
MERCH_001028,25,10,7,7,1,2278.61,91.1444,35.67,0.4744872328548697,0.9980318791492514,20,23,4,4,0.4,0.28,0.28,0.8,0.92,0.16,0.16,digital_services,FR,high
MERCH_000910,44,12,10,10,6,4879.05,110.8875,55.105000000000004,0.46915437047972103,0.9985462953913792,25,43,14,10,0.2727272727272727,0.22727272727272727,0.22727272727272727,0.5681818181818182,0.9772727272727273,0.3181818181818182,0.22727272727272727,digital_services,IT,high
MERCH_000696,57,5,5,5,12,11079.84,194.38315789473685,139.99,0.45286181947803,0.9750936500970092,24,44,10,15,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.42105263157894735,0.7719298245614035,0.17543859649122806,0.2631578947368421,marketplace,ES,medium
MERCH_000460,72,12,4,4,10,14853.22,206.29472222222222,147.61,0.41560119599304735,0.9835893958032916,28,61,15,13,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.3888888888888889,0.8472222222222222,0.20833333333333334,0.18055555555555555,electronics,ES,medium
MERCH_000660,45,7,5,5,5,4933.96,109.64355555555555,58.15,0.41354908097242443,0.99619238709991,26,42,8,11,0.15555555555555556,0.1111111111111111,0.1111111111111111,0.5777777777777777,0.9333333333333333,0.17777777777777778,0.24444444444444444,marketplace,IT,medium
MERCH_000324,37,5,7,7,4,3299.02,89.1627027027027,40.95,0.4010204985182133,0.996536655699677,19,36,8,8,0.13513513513513514,0.1891891891891892,0.1891891891891892,0.5135135135135135,0.972972972972973,0.21621621621621623,0.21621621621621623,digital_services,FR,high
MERCH_000614,53,7,3,3,5,3307.16,62.399245283018864,35.78,0.3742619126335259,0.9726649414867516,32,53,13,12,0.1320754716981132,0.05660377358490566,0.05660377358490566,0.6037735849056604,1.0,0.24528301886792453,0.22641509433962265,marketplace,IT,medium
MERCH_000996,35,4,3,3,4,14218.44,406.24114285714285,278.68,0.26420318495013856,0.9733221277263,23,35,12,9,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.6571428571428571,1.0,0.34285714285714286,0.2571428571428571,travel,PT,high
MERCH_000552,26,2,2,2,3,12338.64,474.5630769230769,373.04499999999996,0.24402616813494044,0.9865839589693568,14,25,6,8,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.9615384615384616,0.23076923076923078,0.3076923076923077,travel,DE,high
MERCH_000323,32,2,3,3,3,4599.49,143.7340625,89.625,0.2405911391556319,0.9946730327288948,20,32,8,6,0.0625,0.09375,0.09375,0.625,1.0,0.25,0.1875,travel,DE,high
MERCH_000389,35,3,3,3,3,9506.6,271.6171428571429,241.51,0.24028315865127087,0.9442442228673412,22,32,11,10,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.6285714285714286,0.9142857142857143,0.3142857142857143,0.2857142857142857,travel,ES,high
MERCH_000709,36,3,2,2,5,8211.71,228.10305555555553,194.385,0.2396345181002151,0.9507949678205564,26,34,7,6,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.7222222222222222,0.9444444444444444,0.19444444444444445,0.16666666666666666,travel,PT,high
MERCH_000486,35,2,2,2,5,6746.2,192.7485714285714,165.67,0.2388512188935802,0.9367450327682778,24,35,12,6,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.6857142857142857,1.0,0.34285714285714286,0.17142857142857143,marketplace,PT,high
