customer_id,txn_count,fraud_count,alert_count,high_risk_count,medium_risk_count,approved_amount_sum,avg_amount,median_amount,avg_fraud_score,max_fraud_score,cross_border_count,geo_mismatch_count,ip_mismatch_count,low_trust_device_count,fraud_rate,alert_rate,high_risk_rate,cross_border_rate,geo_mismatch_rate,ip_mismatch_rate,low_trust_device_rate,customer_segment,home_country,home_city
CUST_009102,3,0,0,0,1,1468.62,489.53999999999996,549.17,0.6842916590237084,0.7016313007442919,3,3,1,2,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,affluent,ES,Madrid
CUST_007994,3,1,0,0,2,331.46,110.48666666666666,107.43,0.6756523788574009,0.8346523971750308,2,3,2,3,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,digital_native,DE,Berlin
CUST_000201,3,1,1,1,1,850.1500000000001,283.3833333333334,208.15,0.6232270586045262,0.9741642181541068,3,3,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,digital_native,DE,Munich
CUST_004909,3,0,1,1,1,646.22,215.40666666666667,202.5,0.6077235806105133,0.9245704681392756,3,3,1,0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,affluent,FR,Paris
CUST_005395,3,2,1,1,1,206.97000000000003,68.99000000000001,24.15,0.6069632203859331,0.9865839589693568,2,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,mass,FR,Paris
CUST_006821,4,0,0,0,2,1242.42,310.605,247.965,0.5597071351893268,0.8501470663416865,3,4,3,0,0.0,0.0,0.0,0.75,1.0,0.75,0.0,affluent,IT,Turin
CUST_008222,3,1,1,1,0,405.83,135.27666666666667,82.21,0.5391514490963654,0.995969556226097,3,3,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,digital_native,ES,Madrid
CUST_000992,4,0,1,1,1,460.39,115.0975,101.265,0.5267895714464854,0.9507949678205564,3,4,3,3,0.0,0.25,0.25,0.75,1.0,0.75,0.75,digital_native,DE,Berlin
CUST_008937,3,2,1,1,0,274.1,91.36666666666667,99.31,0.5242291425868181,0.9871742324319328,1,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,mass,ES,Madrid
CUST_006666,3,1,0,0,2,436.65,145.54999999999998,135.2,0.5198729743528739,0.8318827335201547,0,3,2,3,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,digital_native,ES,Madrid
CUST_005671,5,0,1,1,1,1405.3600000000001,281.072,341.69,0.5157082395864392,0.9345134947732344,4,5,2,0,0.0,0.2,0.2,0.8,1.0,0.4,0.0,affluent,IT,Rome
CUST_002837,3,1,1,1,0,1168.55,389.51666666666665,385.37,0.5152731269369741,0.9514288027715192,3,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,affluent,FR,Lyon
CUST_006995,6,2,1,1,1,2405.63,400.93833333333333,277.855,0.498424125614596,0.9985462953913792,3,6,3,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,1.0,0.5,1.0,digital_native,ES,Bilbao
CUST_001312,4,0,0,0,2,653.96,163.49,164.26500000000001,0.4895081957385945,0.8708575101188079,3,4,4,0,0.0,0.0,0.0,0.75,1.0,1.0,0.0,sme,IT,Turin
CUST_006885,4,0,2,2,0,1578.06,394.515,414.3,0.4890098941344914,0.957259544470642,2,3,1,3,0.0,0.5,0.5,0.5,0.75,0.25,0.75,sme,ES,Bilbao
CUST_009813,4,2,2,2,0,1864.89,466.2225,402.71000000000004,0.4870031777974599,0.9896571268161684,3,4,2,0,0.5,0.5,0.5,0.75,1.0,0.5,0.0,affluent,ES,Valencia
CUST_008946,3,0,0,0,1,874.94,291.6466666666667,250.26,0.4773253742369103,0.8837916699581325,3,3,1,3,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,affluent,PT,Braga
CUST_001612,5,2,1,1,1,540.3000000000001,108.06000000000002,119.23,0.47571807753318024,0.9375247066197118,4,5,2,0,0.4,0.2,0.2,0.8,1.0,0.4,0.0,digital_native,FR,Paris
CUST_005186,4,0,1,1,1,727.77,181.9425,195.04000000000002,0.47189787454750814,0.9883404975559568,1,4,0,0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,digital_native,ES,Barcelona
CUST_006512,4,1,1,1,0,858.27,214.5675,113.475,0.471203210623609,0.931302733100824,2,4,1,4,0.25,0.25,0.25,0.5,1.0,0.25,1.0,mass,FR,Paris
CUST_009772,4,1,1,1,1,235.95,58.9875,49.535,0.4688369251918371,0.9857347913309678,2,3,2,3,0.25,0.25,0.25,0.5,0.75,0.5,0.75,digital_native,ES,Madrid
